event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
trail_close,11,1.68,0.745,9.71,1,4.507,1778337299.666
trail_close,11,2.53,1.981,10.01,1,3.463,1778337303.129
trail_close,11,10.74,0.75,3.68,2,3.365,1778337306.494
trail_close,11,1.58,0.743,3.67,2,2.804,1778337309.298
player_death,11,16.53,0.0,0.8,0,0.18,1778337309.478
trail_close,11,12.95,1.468,1.67,2,12.631,1778337322.109
trail_close,11,0.74,0.882,1.68,1,4.632,1778337326.741
trail_close,11,1.26,0.585,8.22,1,1.158,1778337327.899
trail_close,11,2.53,0.819,3.78,1,2.244,1778337330.143
trail_close,11,5.05,1.24,10.68,1,2.598,1778337332.741
trail_close,11,2.53,0.748,16.04,1,1.336,1778337334.076
trail_close,11,1.26,0.497,7.74,1,1.246,1778337335.322
trail_close,11,3.68,0.751,7.96,1,1.361,1778337336.683
trail_close,11,4.63,0.833,14.26,1,1.758,1778337338.441
trail_close,11,1.89,1.898,12.18,0,3.143,1778337341.584
trail_close,11,4.74,1.236,13.66,2,5.522,1778337347.106
trail_close,11,2.95,0.83,8.73,1,1.161,1778337348.268
trail_close,11,0.63,0.339,7.12,1,0.674,1778337348.942
trail_close,11,0.21,0.085,4.0,0,0.996,1778337349.938
player_death,11,61.58,0.748,0.28,1,1.596,1778337351.534
trail_close,11,2.95,0.642,2.29,0,4.772,1778337356.306
player_death,11,64.53,0.33,0.99,1,0.656,1778337356.962
trail_close,11,0.63,0.0,1.4,0,0.001,1778337356.963
trail_close,1,4.42,1.004,12.26,1,4.229,1778337361.191
trail_close,1,4.11,1.245,5.84,3,2.583,1778337363.774
trail_close,1,35.16,2.57,13.55,4,2.867,1778337366.641
trail_close,1,20.11,2.563,24.06,2,3.063,1778337369.704
trail_close,1,25.05,1.922,6.24,1,2.372,1778337372.076
trail_close,2,2.74,2.272,2.65,4,4.099,1778337376.175
trail_close,2,0.63,0.167,4.22,0,0.53,1778337376.705
trail_close,2,36.32,2.073,14.68,2,2.155,1778337378.86
player_death,2,39.68,0.331,0.43,1,1.17,1778337380.03
trail_close,2,0.42,0.33,4.41,0,1.495,1778337381.525
trail_close,2,57.16,2.098,24.74,5,2.178,1778337383.703
trail_close,3,3.79,0.907,11.77,1,2.088,1778337385.791
trail_close,3,8.21,1.502,5.49,1,2.182,1778337387.973
trail_close,3,2.95,0.83,18.57,1,2.048,1778337390.021
trail_close,3,5.26,2.004,3.23,5,2.634,1778337392.655
trail_close,3,1.16,0.577,4.1,2,1.538,1778337394.193
trail_close,3,2.84,2.233,12.44,2,2.678,1778337396.87
trail_close,3,7.68,1.823,8.04,3,2.234,1778337399.104
trail_close,3,4.42,0.496,12.01,0,1.755,1778337400.859
trail_close,3,5.37,1.169,7.53,2,1.743,1778337402.602
trail_close,3,2.11,0.167,5.71,0,0.25,1778337402.852
